Team,Conf,G,W,Adjoe,Adjde,Barthag,Efg_O,Efg_D,Tor,Tord,Orb,Drb,Ftr,Ftrd,2P_O,2P_D,3P_O,3P_D,Adj_T,Wab,Seed,Year,TeamID,FirstD1Season,LastD1Season,Predicted_Round,TeamRight,Champion %,Runner Up %,Final Four %,Elite 8 %,Sweet 16 %,Round 32 %,Round 64 %
Drake,18,33,28,114.8,100.2,0.8283,54.9,51.0,13.9,17.4,24.2,22.1,32.6,31.0,55.1,51.9,36.5,33.0,67.8,1.7,10,2024,1179,1985,2024,7.0,Drake,0.0009735193046290682,0.040723871894631065,0.020455660633311657,0.04172445995750635,0.08520578520714459,0.25770681265881823,0.5532098903439593
Duke,1,32,24,120.8,96.8,0.9272,55.2,49.0,14.3,16.9,31.8,25.9,33.8,27.6,54.4,49.1,37.7,32.6,66.9,3.3,4,2024,1181,1985,2024,5.0,Duke,0.013981405363992576,0.028271301996878863,0.05733177108247586,0.10579913510346965,0.32773736452508323,0.247124881891881,0.21975414003621963
Duquesne,2,34,24,106.3,96.1,0.7612,50.1,48.0,17.5,19.5,29.9,30.0,33.1,35.3,49.6,48.4,33.9,31.7,66.3,-1.8,11,2024,1182,1985,2024,7.0,Duquesne,0.0,0.0012884243128145566,0.004744027344136506,0.031194755565361474,0.06586762217829549,0.31276799403730354,0.5841371765620884
Florida,26,35,24,119.7,99.3,0.8951,51.5,48.8,15.8,14.5,37.5,28.9,38.6,34.2,51.7,49.0,34.2,32.2,71.6,3.0,7,2024,1196,1985,2024,6.0,Florida,0.009982659069015257,0.010605387856152662,0.02287998141369319,0.12035071897600101,0.21692010382623325,0.3545508127854496,0.26471033607345584
FL Atlantic,3,33,25,117.3,103.0,0.817,55.0,49.7,15.8,16.5,33.8,29.2,34.8,27.5,56.0,49.3,35.6,33.6,67.9,1.2,8,2024,1194,1994,2024,7.0,FL Atlantic,0.002109781365322613,0.0017607290306811295,0.02585704814390811,0.06159757509726163,0.09118825235329286,0.30299148747231164,0.5144951265372222
Gonzaga,33,31,25,121.3,98.6,0.9151,56.7,47.3,14.0,16.5,33.3,27.2,31.5,25.8,58.3,45.1,35.5,34.0,69.1,2.5,5,2024,1211,1985,2024,5.0,Gonzaga,0.008902758938470616,0.050600124290159816,0.05522023094278069,0.10816683730299849,0.2927140177311639,0.24946977432203962,0.23492625647238757
Grambling,29,31,20,97.7,106.0,0.2805,48.2,49.1,20.5,19.0,28.1,32.7,39.6,33.9,47.0,48.4,34.1,33.7,64.9,-8.0,16,2024,1212,1985,2024,7.0,Grambling,0.0,0.0008205128205128205,0.001726763487744375,0.011846543678295846,0.030129431941594426,0.08720621930563574,0.8682705287662174
Grand Canyon,30,32,29,111.1,99.8,0.7733,52.0,45.9,17.8,19.9,34.6,29.6,45.3,34.8,52.3,44.4,34.4,32.6,68.0,1.3,12,2024,1213,2014,2024,7.0,Grand Canyon,0.01009849279028248,0.027075961501758058,0.08069950766903831,0.06112771819948206,0.058785297937682376,0.24960340774081544,0.5126096141609409
Houston,7,34,30,119.2,85.5,0.9785,49.7,44.0,13.7,24.7,36.9,30.2,29.9,39.0,48.4,43.4,34.7,30.0,63.3,10.6,1,2024,1222,1985,2024,2.0,Houston,0.16162305710204763,0.19077363639656536,0.15695018658691776,0.1656504396533443,0.1792831260521727,0.10045461269237192,0.0452649415165805
Howard,17,32,18,104.5,112.9,0.2913,52.0,50.9,21.4,16.7,33.4,30.7,42.2,39.1,49.2,50.8,37.5,34.0,67.7,-12.1,16,2024,1224,1985,2024,7.0,Howard,0.0,0.0,0.0003076923076923077,0.003945275492297423,0.025489460781101484,0.10800372476887325,0.8622538466500359
Illinois,6,34,26,125.3,101.1,0.9221,53.8,48.0,15.1,12.3,36.2,26.1,37.8,27.1,54.7,46.6,34.9,34.3,69.9,6.0,3,2024,1228,1985,2024,5.0,Illinois,0.05151948316864913,0.10472975415306332,0.044993720142118984,0.21204910857707918,0.22822002559374854,0.20549328325970165,0.15299462510563933
Iowa St,7,34,27,113.6,86.5,0.9583,51.9,47.1,15.7,25.7,31.6,29.4,36.1,35.2,51.7,46.9,34.9,31.5,67.6,6.9,2,2024,1235,1985,2024,4.0,Iowa St,0.10787176006589702,0.059556655541395505,0.07039718274261636,0.2951418559739754,0.15591327179863415,0.22412166715126106,0.08699760672622056
James Madison,24,33,31,112.0,100.4,0.778,54.4,46.7,14.7,19.8,32.0,27.6,34.2,35.1,54.2,48.8,36.5,28.6,69.8,1.5,12,2024,1241,1985,2024,7.0,James Madison,0.013339396644841784,0.03823896132335026,0.12176271773707262,0.05212291388008836,0.05866357626158182,0.3329349317239634,0.38293750242910096
Kansas,7,31,22,113.5,92.7,0.9111,53.4,47.6,16.4,16.8,25.3,26.4,32.8,28.5,54.8,45.3,33.3,33.8,68.9,4.3,4,2024,1242,1985,2024,6.0,Kansas,0.004180799426265572,0.04746185416540404,0.023938782334141786,0.16881763835117952,0.23922217123639267,0.3362403401733088,0.18013841431330746
Kentucky,26,32,23,123.0,102.2,0.8934,57.4,49.5,14.2,16.0,28.9,30.2,30.4,33.4,54.7,49.8,41.2,32.6,72.5,2.9,3,2024,1246,1985,2024,7.0,Kentucky,0.03304705415255391,0.02559775543597101,0.05674793382398515,0.1534992025733279,0.20964974014473944,0.2146161500471199,0.3068421638223032
Long Beach St,10,33,21,105.4,108.0,0.4313,48.9,51.2,17.1,18.5,33.3,29.6,38.1,32.6,49.7,50.0,31.3,35.1,71.4,-8.0,15,2024,1253,1985,2024,7.0,Long Beach St,0.0,0.0,0.0,0.005075776302217914,0.02368313933083073,0.042250349449133015,0.9289907349178185
Longwood,9,31,21,104.0,104.8,0.4768,49.4,51.3,18.0,19.6,36.7,25.5,39.5,36.1,48.6,50.9,34.2,34.6,66.8,-8.6,16,2024,1255,2005,2024,7.0,Longwood,0.0012948532948532947,0.0012147742818057457,0.0007407407407407408,0.006073529016533906,0.011355207533501575,0.031666631534966246,0.9476542635975983
Marquette,5,34,25,118.9,94.6,0.9328,55.1,49.7,14.3,21.1,26.0,30.8,25.6,28.2,56.0,49.2,35.8,33.6,69.1,6.5,2,2024,1266,1985,2024,5.0,Marquette,0.036619234792473365,0.07047382081972173,0.08609590173302639,0.20553730935770054,0.2635595883694498,0.21032510958400516,0.1273890353436236
McNeese St,27,29,30,111.3,101.0,0.7524,54.9,47.8,14.2,23.0,32.1,30.4,40.6,33.9,52.8,46.3,39.4,33.0,65.3,0.7,12,2024,1270,1985,2024,7.0,McNeese St,0.018608445765674685,0.0368110359065946,0.1036553672501816,0.07781657585137924,0.06776755529255592,0.25431042146233407,0.44103059847127957
Michigan St,6,33,19,112.7,93.3,0.8983,51.5,48.0,14.7,18.7,29.9,28.7,29.9,32.6,50.5,47.1,35.9,32.8,65.3,0.21,9,2024,1277,1985,2024,6.0,Michigan St,0.0009725174288811667,0.00673704511168654,0.014293033611668953,0.026372405281660873,0.12157508875233095,0.5828946381553146,0.24715527165845783
Mississippi St,26,34,21,112.6,94.9,0.8772,51.7,47.7,18.7,18.2,35.4,27.6,37.9,32.4,53.4,50.2,32.5,29.4,67.2,0.8,8,2024,1280,1985,2024,6.0,Mississippi St,0.0007429694174160133,0.009786736748535654,0.02183262872083222,0.0761636241597188,0.1049242224447109,0.47676758520758794,0.30978223330119936
Montana St,8,31,17,102.9,105.8,0.4193,53.9,52.3,16.8,18.6,20.7,28.6,30.7,37.0,53.4,54.1,36.4,32.6,68.5,-12.6,16,2024,1286,1985,2024,7.0,Montana St,0.0,0.0012622950819672133,0.00520587239660091,0.04705816258235641,0.05605507401773944,0.13136535736176064,0.7590532385595755
Morehead St,21,30,26,106.7,103.4,0.5889,54.4,45.7,18.5,15.5,32.0,26.4,31.3,32.7,55.6,45.4,35.3,31.1,64.3,-3.4,14,2024,1287,1985,2024,7.0,Morehead St,0.00047058823529411766,0.0021225460978984536,0.002029261497703877,0.007121379458900639,0.03443725998786226,0.09527522216915744,0.8585437425531833
Nebraska,6,33,23,115.7,95.6,0.8999,53.2,46.3,15.9,16.4,27.8,30.0,32.4,27.7,52.8,45.2,35.8,31.9,68.7,2.4,8,2024,1304,1985,2024,6.0,Nebraska,0.0005726304094559876,0.00950083968181121,0.026198143577336293,0.04930063504472168,0.2055760950856245,0.46482757893560595,0.24402407726544476
Nevada,19,32,26,115.1,98.0,0.8632,53.3,48.2,15.0,17.3,27.5,27.2,46.2,34.3,52.6,49.1,36.5,31.3,66.8,2.7,10,2024,1305,1985,2024,7.0,Nevada,0.0,0.006741147033801848,0.011759776410243708,0.03726153162378834,0.10683797353498921,0.39690859346459,0.4404909779325865
New Mexico,19,34,26,114.8,95.5,0.8927,51.0,48.0,13.9,19.5,33.4,27.0,33.1,33.5,51.4,49.2,33.4,30.6,72.8,1.7,11,2024,1307,1985,2024,6.0,New Mexico,0.0017256347304413038,0.022878188836672406,0.030226755469429493,0.08146462711584729,0.1168702046966285,0.4613013210418822,0.2855332681090993
North Carolina,1,34,27,116.8,93.2,0.9305,51.3,46.4,14.4,14.9,32.8,23.5,36.8,28.3,50.3,46.0,35.4,31.4,70.4,6.6,1,2024,1314,1985,2024,5.0,North Carolina,0.031753847796449665,0.09948132508286267,0.052851553783621275,0.18765420949464653,0.2700004305730482,0.23241074783606905,0.12584788543330266
NC State,1,36,22,114.0,101.2,0.7981,50.7,50.5,13.7,17.9,28.6,29.3,32.5,31.9,50.1,49.5,34.6,34.9,67.9,-0.6,11,2024,1301,1985,2024,7.0,NC State,0.00014285714285714287,0.010523924503035166,0.03473200043220941,0.12684483124535828,0.14465535420481718,0.3081184601983014,0.3749825722734209
Northwestern,6,32,21,117.2,99.2,0.8717,53.2,51.6,13.3,18.8,25.7,28.2,29.9,39.4,49.7,50.3,39.4,35.9,63.7,1.5,9,2024,1321,1985,2024,7.0,Northwestern,0.003822055625600293,0.020513703949422573,0.028131121185102127,0.0663336856005085,0.17287066405052642,0.33200892399178555,0.37631984559705406
Oakland,13,34,23,107.8,104.6,0.5853,52.1,50.6,16.2,16.3,30.6,28.6,30.9,26.8,51.8,50.5,35.1,33.9,66.8,-4.2,14,2024,1324,2000,2024,7.0,Oakland,0.0,0.0,0.0007619047619047619,0.0042651464937179225,0.044560547666032055,0.07925714729729909,0.871155253781046
Oregon,22,34,23,113.3,99.6,0.8149,51.8,51.5,14.8,17.9,28.7,27.1,32.3,32.8,52.7,51.6,33.6,34.3,67.1,1.4,11,2024,1332,1985,2024,7.0,Oregon,0.0002580645161290323,0.0005161290322580646,0.0034353886311996812,0.04987232025100948,0.06848182290143312,0.3472412291575054,0.5301950455104657
Purdue,6,33,29,126.2,94.7,0.9644,56.0,47.7,16.5,14.0,37.4,24.7,42.8,23.0,53.2,48.1,40.8,31.4,67.6,11.0,1,2024,1345,1985,2024,4.0,Purdue,0.18007384194600393,0.16822081069630643,0.10054442014206148,0.21301502660182817,0.1687908648706485,0.10927687055030373,0.060078165192848094
St Mary's CA,33,32,26,115.8,93.7,0.9198,53.1,45.1,16.0,16.7,39.0,22.4,28.3,32.2,53.0,43.6,35.5,32.4,62.1,1.4,5,2024,1388,1985,2024,6.0,St Mary's CA,0.018263982130947057,0.05602563662627147,0.06918954425137452,0.1112950814390156,0.22115993325749778,0.26466393504414615,0.2594018872507476
St Peter's,15,31,19,96.8,100.2,0.4038,45.0,46.6,19.6,20.3,35.1,29.4,38.1,42.3,42.4,46.4,33.9,31.5,64.0,-8.8,15,2024,1389,1985,2024,7.0,St Peter's,0.0,0.0008205128205128205,0.01793270061018913,0.02396374158576681,0.023631639047821354,0.12579091005918883,0.8078604958765213
Samford,25,32,29,111.7,102.4,0.7315,56.9,50.0,18.1,21.7,30.2,32.0,36.4,37.0,55.5,49.5,39.3,33.9,72.6,0.07,13,2024,1359,1985,2024,7.0,Samford,0.01985308308270885,0.02249599446383781,0.09146092734796513,0.05607909274569096,0.06007942804713788,0.19947404998954243,0.5505574243231162
San Diego St,19,32,24,111.5,93.9,0.8789,49.8,47.2,16.0,18.0,32.7,28.0,37.5,33.3,51.6,48.3,31.3,30.5,66.1,2.6,5,2024,1361,1985,2024,6.0,San Diego St,0.0007242969409625252,0.007567049621013688,0.02910970784610612,0.057297136078558235,0.102497291843342,0.5381513677360221,0.26465314993399597
